,title,artist
0,the box,roddy ricch
1,circles,post malone
2,godzilla (feat. juice wrld),eminem
3,life is good (feat. drake),future
4,roxanne,arizona zervas
5,take what you want (feat. ozzy osbourne & travis scott),post malone
6,ballin’,mustard & roddy ricch
7,sunflower (spider-man: into the spider-verse),post malone & swae lee
8,high fashion (feat. mustard),roddy ricch
10,"numbers (feat. roddy ricch, gunna and london on da track)",a boogie wit da hoodie
11,"life is good (remix) [feat. drake, dababy & lil baby]",future
12,give no fxk (feat. travis scott & young thug),migos
14,bop,dababy
15,yikes,nicki minaj
16,better now,post malone
17,believe (feat. justin timberlake),meek mill
18,best on earth (feat. bia),russ
19,shut up,dababy
20,highest in the room,travis scott
21,woah,lil baby
22,death bed (feat. beabadoobee),powfu
23,dior,pop smoke
24,still be friends (feat. tory lanez & tyga),g-eazy
25,speed me up (from “sonic the hedgehog”),"wiz khalifa, ty dolla $ign, sueco the child & lil yachty"
26,those kinda nights (feat. ed sheeran),eminem
27,go stupid,"polo g, stunna 4 vegas, nle choppa & mike will made-it"
28,wow.,post malone
29,suicidal,ynw melly
30,city of angels,24kgoldn
31,blueberry faygo,lil mosey
32,welcome to the party,pop smoke
33,b.i.t.c.h.,megan thee stallion
34,see you again (feat. charlie puth),wiz khalifa
35,toes (feat. lil baby & moneybagg yo),dababy
36,rockstar (feat. 21 savage),post malone
37,konclusions,yg & kehlani
38,sum 2 prove,lil baby
39,goodbyes (feat. young thug),post malone
40,lottery (renegade),k camp
41,psycho!,mase
42,out west (feat. young thug),jackboys
44,money in the grave (feat. rick ross),drake
45,vibez,dababy
46,sugar,brockhampton
47,i fall apart,post malone
48,heart on ice,rod wave
49,without me,eminem
50,lucid dreams,juice wrld
51,my type,saweetie
52,lalala,y2k & bbno$
54,whats poppin,jack harlow
55,the way (feat. russ),trippie redd
56,relationship (feat. future),young thug
57,suge,dababy
58,no problem (feat. lil wayne & 2 chainz),chance the rapper
59,'till i collapse (feat. nate dogg),eminem
60,time,nf
61,make no sense,youngboy never broke again
62,sicko mode,travis scott
63,on chill (feat. jeremih),wale
65,bandit,juice wrld & youngboy never broke again
66,i do it (feat. big sean & lil baby),lil wayne
67,ice ice baby,vanilla ice
68,psycho (feat. ty dolla $ign),post malone
69,robbery,juice wrld
70,hollywood's bleeding,post malone
71,no idea,don toliver
72,darkness,eminem
73,boogie... báilalo brincao,monsieur job
74,fml,arizona zervas
75,low (feat. t-pain),flo rida
76,a escondidas (feat. fragua),monsieur job
77,the real slim shady,eminem
78,congratulations (feat. quavo),post malone
79,i like it,"cardi b, bad bunny & j balvin"
80,thug love,a boogie wit da hoodie
81,working bitch,ashnikko
82,shake the room (feat. quavo),pop smoke
83,rap god,eminem
84,california love (feat. roger troutman & dr. dre),2pac
85,jump around,house of pain
86,pure water,mustard & migos
88,let you down,nf
89,gangsta's paradise (feat. l.v.),coolio
90,easy (remix) [feat. chris brown],danileigh
91,holler boys,upchurch
93,get low,lil jon & the east side boyz & ying yang twins
94,love the way you lie (feat. rihanna),eminem
95,can't hold us (feat. ray dalton),macklemore & ryan lewis
96,hot (feat. gunna),young thug
97,dreka,kevin gates
98,the monster (feat. rihanna),eminem
99,my house,flo rida
