,title,artist
0,title,artist
1,thebox,roddyricch
2,circles,postmalone
3,godzilla(feat.juicewrld),eminem
4,lifeisgood(feat.drake),future
5,roxanne,arizonazervas
6,takewhatyouwant(feat.ozzyosbourne&travisscott),postmalone
7,ballin’,mustard&roddyricch
8,sunflower(spider-man:intothespider-verse),postmalone&swaelee
9,highfashion(feat.mustard),roddyricch
10,"numbers(feat.roddyricch,gunnaandlondonondatrack)",aboogiewitdahoodie
11,"lifeisgood(remix)[feat.drake,dababy&lilbaby]",future
12,givenofxk(feat.travisscott&youngthug),migos
13,bop,dababy
14,yikes,nickiminaj
15,betternow,postmalone
16,believe(feat.justintimberlake),meekmill
17,bestonearth(feat.bia),russ
18,shutup,dababy
19,highestintheroom,travisscott
20,woah,lilbaby
21,deathbed(feat.beabadoobee),powfu
22,dior,popsmoke
23,stillbefriends(feat.torylanez&tyga),g-eazy
24,speedmeup(from“sonicthehedgehog”),"wizkhalifa,tydolla$ign,suecothechild&lilyachty"
25,thosekindanights(feat.edsheeran),eminem
26,gostupid,"polog,stunna4vegas,nlechoppa&mikewillmade-it"
27,wow.,postmalone
28,suicidal,ynwmelly
29,cityofangels,24kgoldn
30,blueberryfaygo,lilmosey
31,welcometotheparty,popsmoke
32,b.i.t.c.h.,megantheestallion
33,seeyouagain(feat.charlieputh),wizkhalifa
34,toes(feat.lilbaby&moneybaggyo),dababy
35,rockstar(feat.21savage),postmalone
36,konclusions,yg&kehlani
37,sum2prove,lilbaby
38,goodbyes(feat.youngthug),postmalone
39,lottery(renegade),kcamp
40,psycho!,mase
41,outwest(feat.youngthug),jackboys
42,moneyinthegrave(feat.rickross),drake
43,vibez,dababy
44,sugar,brockhampton
45,ifallapart,postmalone
46,heartonice,rodwave
47,withoutme,eminem
48,luciddreams,juicewrld
49,mytype,saweetie
50,lalala,y2k&bbno$
51,whatspoppin,jackharlow
52,theway(feat.russ),trippieredd
53,relationship(feat.future),youngthug
54,suge,dababy
55,noproblem(feat.lilwayne&2chainz),chancetherapper
56,'tillicollapse(feat.natedogg),eminem
57,time,nf
58,makenosense,youngboyneverbrokeagain
59,sickomode,travisscott
60,onchill(feat.jeremih),wale
61,bandit,juicewrld&youngboyneverbrokeagain
62,idoit(feat.bigsean&lilbaby),lilwayne
63,iceicebaby,vanillaice
64,psycho(feat.tydolla$ign),postmalone
65,robbery,juicewrld
66,hollywood'sbleeding,postmalone
67,noidea,dontoliver
68,darkness,eminem
69,boogie...báilalobrincao,monsieurjob
70,fml,arizonazervas
71,low(feat.t-pain),florida
72,aescondidas(feat.fragua),monsieurjob
73,therealslimshady,eminem
74,congratulations(feat.quavo),postmalone
75,ilikeit,"cardib,badbunny&jbalvin"
76,thuglove,aboogiewitdahoodie
77,workingbitch,ashnikko
78,shaketheroom(feat.quavo),popsmoke
79,rapgod,eminem
80,californialove(feat.rogertroutman&dr.dre),2pac
81,jumparound,houseofpain
82,purewater,mustard&migos
83,letyoudown,nf
84,gangsta'sparadise(feat.l.v.),coolio
85,easy(remix)[feat.chrisbrown],danileigh
86,hollerboys,upchurch
87,getlow,liljon&theeastsideboyz&yingyangtwins
88,lovethewayyoulie(feat.rihanna),eminem
89,can'tholdus(feat.raydalton),macklemore&ryanlewis
90,hot(feat.gunna),youngthug
91,dreka,kevingates
92,themonster(feat.rihanna),eminem
93,myhouse,florida
